Department,Building,Count,Percentage,Latitude,Longitude,Blurb
Anthropology,EMBARHALL,2,2.04,34.412174709782700,-119.85549848586,Number of classes: 2 (2.02%)
Anthropology,IV THEA,4,4.08,34.41136595270830,-119.854818639572,Number of classes: 4 (4.02%)
Anthropology,HSSB,29,29.59,34.41414519353390,-119.850335590496,Number of classes: 29 (30.02%)
Anthropology,ARTS,2,2.04,34.412565870156300,-119.849301506747,Number of classes: 2 (2.02%)
Anthropology,SH,4,4.08,34.41354740577190,-119.847480780053,Number of classes: 4 (4.02%)
Anthropology,MUSIC,1,1.02,34.41233883841600,-119.847045451539,Number of classes: 1 (1.02%)
Anthropology,KERR,1,1.02,34.415263544529800,-119.846920345548,Number of classes: 1 (1.02%)
Anthropology,GIRV,12,12.24,34.4139658385782,-119.846673803972,Number of classes: 12 (12.02%)
Anthropology,NH,4,4.08,34.41512704053030,-119.846288190496,Number of classes: 4 (4.02%)
Anthropology,ELLSN,2,2.04,34.416617643011200,-119.845525252934,Number of classes: 2 (2.02%)
Anthropology,ELNG,2,2.04,34.416617643011200,-119.845525252934,Number of classes: 2 (2.02%)
Anthropology,CAMPBHALL,7,7.14,34.416499442462300,-119.845363405837,Number of classes: 7 (7.02%)
Anthropology,PSYCH,7,7.14,34.412021550670300,-119.845072663726,Number of classes: 7 (7.02%)
Anthropology,BIOEN,2,2.04,34.41333774635830,-119.84484866166,Number of classes: 2 (2.02%)
Anthropology,PHELP,12,12.24,34.41624938907930,-119.844830048167,Number of classes: 12 (12.02%)
Anthropology,BUCHN,4,4.08,34.415642395606100,-119.844671092344,Number of classes: 4 (4.02%)
Anthropology,WEBB,2,2.04,34.413684703162800,-119.844018695394,Number of classes: 2 (2.02%)
Anthropology,BRDA,1,1.02,34.41430670131960,-119.842841202141,Number of classes: 1 (1.02%)
Anthropology,CHEM,2,2.04,34.41564166984650,-119.842772122153,Number of classes: 2 (2.02%)
Art,EMBARHALL,4,2.2,34.412174709782700,-119.85549848586,Number of classes: 4 (2.02%)
Art,TD-W,3,1.65,34.41323858070960,-119.851842429641,Number of classes: 3 (2.02%)
Art,HSSB,3,1.65,34.41414519353390,-119.850335590496,Number of classes: 3 (2.02%)
Art,ARTS,115,63.19,34.412565870156300,-119.849301506747,Number of classes: 115 (63.02%)
Art,SH,1,0.55,34.41354740577190,-119.847480780053,Number of classes: 1 (1.02%)
Art,GIRV,1,0.55,34.4139658385782,-119.846673803972,Number of classes: 1 (1.02%)
Art,NH,1,0.55,34.41512704053030,-119.846288190496,Number of classes: 1 (1.02%)
Art,CRST,41,22.53,34.41172435082740,-119.845804010736,Number of classes: 41 (23.02%)
Art,PSYCH,3,1.65,34.412021550670300,-119.845072663726,Number of classes: 3 (2.02%)
Art,BUCHN,1,0.55,34.415642395606100,-119.844671092344,Number of classes: 1 (1.02%)
Art,WEBB,1,0.55,34.413684703162800,-119.844018695394,Number of classes: 1 (1.02%)
Art,BRDA,3,1.65,34.41430670131960,-119.842841202141,Number of classes: 3 (2.02%)
Art,CHEM,3,1.65,34.41564166984650,-119.842772122153,Number of classes: 3 (2.02%)
Art,HFH,2,1.1,34.413980451232600,-119.841710019331,Number of classes: 2 (1.02%)
Art History,EMBARHALL,5,4.72,34.412174709782700,-119.85549848586,Number of classes: 5 (5.02%)
Art History,IV THEA,3,2.83,34.41136595270830,-119.854818639572,Number of classes: 3 (3.02%)
Art History,TD-W,5,4.72,34.41323858070960,-119.851842429641,Number of classes: 5 (5.02%)
Art History,HSSB,4,3.77,34.41414519353390,-119.850335590496,Number of classes: 4 (4.02%)
Art History,ARTS,77,72.64,34.412565870156300,-119.849301506747,Number of classes: 77 (73.02%)
Art History,GIRV,1,0.94,34.4139658385782,-119.846673803972,Number of classes: 1 (1.02%)
Art History,BUCHN,8,7.55,34.415642395606100,-119.844671092344,Number of classes: 8 (8.02%)
Art History,LSB,1,0.94,34.41203912485620,-119.843595593253,Number of classes: 1 (1.02%)
Art History,BRDA,2,1.89,34.41430670131960,-119.842841202141,Number of classes: 2 (2.02%)
Asian American Studies,EMBARHALL,2,2.5,34.412174709782700,-119.85549848586,Number of classes: 2 (2.02%)
Asian American Studies,IV THEA,1,1.25,34.41136595270830,-119.854818639572,Number of classes: 1 (1.02%)
Asian American Studies,TD-W,1,1.25,34.41323858070960,-119.851842429641,Number of classes: 1 (1.02%)
Asian American Studies,TD-E,3,3.75,34.413625700072,-119.850606345549,Number of classes: 3 (4.02%)
Asian American Studies,HSSB,14,17.5,34.41414519353390,-119.850335590496,Number of classes: 14 (18.02%)
Asian American Studies,ARTS,1,1.25,34.412565870156300,-119.849301506747,Number of classes: 1 (1.02%)
Asian American Studies,SH,2,2.5,34.41354740577190,-119.847480780053,Number of classes: 2 (2.02%)
Asian American Studies,GIRV,43,53.75,34.4139658385782,-119.846673803972,Number of classes: 43 (54.02%)
Asian American Studies,NH,3,3.75,34.41512704053030,-119.846288190496,Number of classes: 3 (4.02%)
Asian American Studies,ELLSN,1,1.25,34.416617643011200,-119.845525252934,Number of classes: 1 (1.02%)
Asian American Studies,ELNG,1,1.25,34.416617643011200,-119.845525252934,Number of classes: 1 (1.02%)
